ampicillin,culture_id,ODf,ODi,ff,fi,replicate,dilution
3.0,21,1.45786753308,0.0159725357014,0.856891687938,0.920827761832,0,100.0
3.0,22,1.4408692922,0.0167450753253,0.915939258221,0.951761571322,0,100.0
3.0,23,1.26511011496,0.0162266161748,0.991345693805,0.994172302108,0,100.0
15.0,0,0.0271913329879,0.0143875503769,,-0.000378452263225,0,100.0
15.0,1,1.16724900831,0.0142401998475,0.729006026357,0.0473674563043,0,100.0
15.0,2,1.0105107702,0.0166260103167,0.105304194373,0.0831943960594,0,100.0
15.0,3,1.36008866335,0.0139488432381,0.0753862101025,0.136097043386,0,100.0
15.0,4,1.42821849175,0.0157444308372,0.113643782651,0.190920772547,0,100.0
15.0,5,1.3159737998,0.015880968822,0.14434981004,0.23461782605,0,100.0
15.0,6,1.48581419627,0.0173270790066,0.170425015111,0.265633547252,0,100.0
15.0,7,1.45147557253,0.0158125786528,0.202930059096,0.324992403666,0,100.0
15.0,8,1.27091080771,0.0143242618509,0.241064814038,0.361009958505,0,100.0
15.0,9,1.48364997495,0.0170581391191,0.260014725689,0.400654211988,0,100.0
15.0,10,1.0394790445,0.0157444308372,0.321259425205,0.449678260779,0,100.0
15.0,11,1.5541424486,0.0154742291481,0.352893627486,0.47439638615,0,100.0
15.0,12,1.13630662041,0.0172288469659,0.39333787116,0.542667434497,0,100.0
15.0,13,1.35603614118,0.0167689770446,0.441307771127,0.591551139321,0,100.0
15.0,14,1.40523931714,0.0156539411218,0.47691244122,0.617810288473,0,100.0
15.0,15,1.39075788829,0.0172533579747,0.52141384403,0.678747495291,0,100.0
15.0,16,1.32591141383,0.0160876108434,0.568316209262,0.714067570837,0,100.0
15.0,17,1.38253148549,0.0153405387701,0.609059038671,0.747356992702,0,100.0
15.0,18,1.44510478735,0.0149667198842,0.67062095641,0.801165508552,0,100.0
15.0,19,1.39901963266,0.0154966015163,0.723102565503,0.823349592323,0,100.0
15.0,20,1.39075788829,0.0168648821057,0.785099720484,0.873590378321,0,100.0
15.0,21,1.36821941779,0.0159725357014,0.853351528959,0.920827761832,0,100.0
15.0,22,1.53183471206,0.0167450753253,0.91253287105,0.951761571322,0,100.0
15.0,23,1.39901963266,0.0162266161748,0.990311211688,0.994172302108,0,100.0
50.0,0,0.00801668629273,0.0143875503769,,-0.000378452263225,0,100.0
50.0,1,1.4600029166,0.0142401998475,0.953875509366,0.0473674563043,0,100.0
