tazobactam,fraction #,ODf,ff,fi,replicate,dilution,ampicillin
24.1,5,1.45786753308,0.185080760092,0.254009711778,1,100.0,2.0
24.1,6,1.50759143247,0.226361904842,0.353239998953,1,100.0,2.0
24.1,7,1.52077713814,0.308402583503,0.443138313436,1,100.0,2.0
24.1,8,1.43032118762,,0.546140482954,1,100.0,2.0
24.1,9,1.28061768136,0.525730929614,0.637818786092,1,100.0,2.0
24.1,10,1.54072677841,0.717406354754,0.810194325602,1,100.0,2.0
24.1,11,1.27091080771,0.992343169254,0.993714476928,1,100.0,2.0
41.0,0,1.2249879153,,0.000340916579115,1,100.0,2.0
41.0,1,1.58581450644,0.475794698908,0.0443767445187,1,100.0,2.0
41.0,2,1.58353483627,0.239020701734,0.0900807581116,1,100.0,2.0
41.0,3,1.46856824125,0.166783264564,0.151535886526,1,100.0,2.0
41.0,4,1.61569879132,0.163364999725,0.199246769256,1,100.0,2.0
41.0,5,1.49449552016,0.18294492188,0.254009711778,1,100.0,2.0
41.0,6,1.55638752092,0.259817132027,0.353239998953,1,100.0,2.0
41.0,7,1.6110708735,0.318549284025,0.443138313436,1,100.0,2.0
41.0,8,1.56088554384,0.426763751388,0.546140482954,1,100.0,2.0
41.0,9,1.63900692673,0.529252482726,0.637818786092,1,100.0,2.0
41.0,10,1.529618105,0.705467990788,0.810194325602,1,100.0,2.0
41.0,11,0.985307949727,0.991443378073,0.993714476928,1,100.0,2.0
69.8,0,1.0584584594,,0.000340916579115,1,100.0,2.0
69.8,1,1.44722603825,0.81711695291,0.0443767445187,1,100.0,2.0
69.8,2,1.58125786528,,0.0900807581116,1,100.0,2.0
69.8,3,1.75002018061,0.387131645141,0.151535886526,1,100.0,2.0
69.8,4,1.58125786528,0.219817515594,0.199246769256,1,100.0,2.0
69.8,5,1.61569879132,0.237743145199,0.254009711778,1,100.0,2.0
69.8,6,1.64605481321,0.271754720258,0.353239998953,1,100.0,2.0
69.8,7,1.33590064795,0.327069928376,0.443138313436,1,100.0,2.0
69.8,8,1.66260103167,0.414240435429,0.546140482954,1,100.0,2.0
69.8,9,1.59954957078,0.535119199821,0.637818786092,1,100.0,2.0
69.8,10,1.53627560577,0.716406110756,0.810194325602,1,100.0,2.0
69.8,11,0.988649303147,0.992295289665,0.993714476928,1,100.0,2.0
118.6,0,1.22121005236,,0.000340916579115,1,100.0,2.0
118.6,1,1.21179773734,0.854049366499,0.0443767445187,1,100.0,2.0
118.6,2,1.41356364547,0.811193916843,0.0900807581116,1,100.0,2.0
118.6,3,1.40109062652,0.568516525448,0.151535886526,1,100.0,2.0
118.6,4,1.51857323258,0.340804010368,0.199246769256,1,100.0,2.0
118.6,5,1.53405387701,0.400706175431,0.254009711778,1,100.0,2.0
118.6,6,1.39488432381,0.363963910623,0.353239998953,1,100.0,2.0
118.6,7,1.5541424486,0.390010166561,0.443138313436,1,100.0,2.0
118.6,8,1.68648821057,0.439699013732,0.546140482954,1,100.0,2.0
118.6,9,1.64370264657,0.555187932893,0.637818786092,1,100.0,2.0
118.6,10,1.64605481321,0.713441227553,0.810194325602,1,100.0,2.0
118.6,11,1.11297623125,0.990921281332,0.993714476928,1,100.0,2.0
201.6,0,1.08464510054,,0.000340916579115,1,100.0,2.0
201.6,1,1.20430091399,0.940955856518,0.0443767445187,1,100.0,2.0
201.6,2,1.36211813141,0.911946102813,0.0900807581116,1,100.0,2.0
201.6,3,1.45573451806,0.829308615047,0.151535886526,1,100.0,2.0
201.6,4,1.46428081022,,0.199246769256,1,100.0,2.0
201.6,5,1.38869798615,0.72575105951,0.254009711778,1,100.0,2.0
201.6,6,1.64135335341,0.686716300459,0.353239998953,1,100.0,2.0
201.6,7,1.80291224678,0.584423666515,0.443138313436,1,100.0,2.0
201.6,8,1.62033787318,0.556691671929,0.546140482954,1,100.0,2.0
201.6,9,1.60414981218,0.613069446447,0.637818786092,1,100.0,2.0
201.6,10,1.58125786528,0.730912436982,0.810194325602,1,100.0,2.0
201.6,11,1.31201308864,0.992658932238,0.993714476928,1,100.0,2.0
342.7,0,1.33790473647,,0.000340916579115,1,100.0,2.0
342.7,1,1.1690847466,0.973716998822,0.0443767445187,1,100.0,2.0
342.7,2,1.80546756989,0.96505961777,0.0900807581116,1,100.0,2.0
342.7,3,1.19497079679,0.942962030229,0.151535886526,1,100.0,2.0
342.7,4,1.41147918285,0.919654021085,0.199246769256,1,100.0,2.0
342.7,5,1.55863521728,0.925625183814,0.254009711778,1,100.0,2.0
342.7,6,1.43875503769,0.843672506551,0.353239998953,1,100.0,2.0
342.7,7,1.67689770446,0.876918343908,0.443138313436,1,100.0,2.0
342.7,8,1.65312862453,0.855784641953,0.546140482954,1,100.0,2.0
342.7,9,1.80802629296,0.722746285403,0.637818786092,1,100.0,2.0
342.7,10,1.76999838446,0.841050754029,0.810194325602,1,100.0,2.0
342.7,11,1.68889332898,0.993557227073,0.993714476928,1,100.0,2.0
582.6,0,1.2689752987,,0.000340916579115,1,100.0,2.0
582.6,1,1.17460249914,0.976037453653,0.0443767445187,1,100.0,2.0
582.6,2,1.30214685286,0.97107192935,0.0900807581116,1,100.0,2.0
582.6,3,1.42611809247,0.987057875138,0.151535886526,1,100.0,2.0
582.6,4,1.34997332544,0.97518366654,0.199246769256,1,100.0,2.0
582.6,5,1.59954957078,,0.254009711778,1,100.0,2.0
582.6,6,1.49449552016,,0.353239998953,1,100.0,2.0
582.6,7,1.73024739149,0.925539224407,0.443138313436,1,100.0,2.0
